Product,Category,Sub-Category,Unit Size,Pack Size,Manufacturer,Manufacturer Code,Distributors,Distributor Code,EO32 Eligible ,Certifications,NY Grown & Certified Verification,Product Info,Product Formulation Statement OR NY Grown & Certified Certificate,Retail Size Packs Available,Vegan,Distribution Notes,Notes,Record Last Modified,Vendor Contact List copy,Vendor Contact List copy,Vendor Contact List copy,Vendor Contact List copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Vendor Contact List
"Roast beef, with rub",Protein,Meat,8lb/avg piece,40 lb./cs (est. 8 x 5 lb. pcs),Slate Foods,SFRB100,Slate Foods,,No,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,checked,,,,8/16/2024 1:38pm,,,,,,,,,
"Beef patty, 5 oz.",Protein,Meat,5 oz.,90/cs (3/10#),Slate Foods,SF 533,Slate Foods,,Can be upon request ,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,checked,,,,8/16/2024 1:38pm,,,,,,,,,
"Pork, ground",Protein,Meat,5 lb. pack,50 lb./cs (10/5#),Slate Foods,SF 1401,Slate Foods,,Yes,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,checked,,,,8/16/2024 1:38pm,,,,,,,,,
Pork shoulder/picnic,Protein,Meat,10 lb,40 lb./cs (8/5#),Slate Foods,SF 1403,Slate Foods,,Yes,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,,,,,8/16/2024 1:38pm,,,,,,,,,
Pork loin chops,Protein,Meat,8 oz.,"40 lb./cs, 120 pc",Slate Foods,SF 1404,Slate Foods,,Yes,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,checked,,,,8/16/2024 1:38pm,,,,,,,,,
"Roast beef, with rub, sliced",Protein,Meat,8lb/avg piece,6 x 5 lb. bags,Slate Foods,SFRB100-1,Slate Foods,,No,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,checked,,,,8/16/2024 1:38pm,,,,,,,,,
"Pork sausage, Italian, frozen",Protein,Meat,5 lb.,,Sugar Hill Farm,,"Hudson Harvest,Antonnuci Foods",,Still Under Review,NY Grown & Certified ,,,,,,,,5/29/2025 11:45am,,,,,,,,,
"Pork sausage, Hot Italian, frozen",Protein,Meat,5 lb.,,Sugar Hill Farm,,"Hudson Harvest,Antonnuci Foods",,Still Under Review,NY Grown & Certified ,,,,,,,,5/29/2025 11:45am,,,,,,,,,
"Pork sausage, breakfast, frozen",Protein,Meat,5 lb.,,Sugar Hill Farm,,"Hudson Harvest,Antonnuci Foods",,Still Under Review,NY Grown & Certified ,,,,,,,,5/29/2025 11:45am,,,,,,,,,
"Pork, ground, frozen",Protein,Meat,5 lb.,,Sugar Hill Farm,,Hudson Harvest,,Still Under Review,NY Grown & Certified ,,,,,,,,5/16/2024 3:23pm,,,,,,,,,
"Pork sausage, bratwurst, frozen",Protein,Meat,5 lb.,,Sugar Hill Farm,,"Hudson Harvest,Antonnuci Foods",,Still Under Review,NY Grown & Certified ,,,,,,,,5/29/2025 11:46am,,,,,,,,,
"Hotdog, beef, 7:1, fully cooked",Protein,Meat,2.3 oz.,30lbs./cs (6/5#),Wardynski & Sons Inc.,30611,"Wardynski & Sons Inc.,Renzi Foodservice,Latina Boulevard",,Yes,NY Grown & Certified ,,"Botaniline PPT.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wG_QZPs-khzTuqmGeIDtJA/BD8yYxvfikCoqB3WsWbBp_6J6OuXRsxW94bt-MPnTfaGVEjA61F8kneamCe1eGNEENNbkziw88HkDb9FuR_N5haLhYSqEMRTX6Z5Dc7F3KL_E7WQQgsOgfl1toulAQgrimpx8PCz1ivYq5-J5q4j4Q/NJAzAe_SxC8Ifa6JFyygwHC2ckgMOG0e4df8w5tKZO8),51- Beef Hot dogs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/R0lZV_XSg72ztmew7kXDrg/quqMr2ZpjY_vrwBwXwXosZe6Vvy0XeYTed2ftLoRZ9hg6O5oCtB9CNvhWxvL_7DEOgVev3MX-lnrDiipqBV2MBlgxl0YMqYkuJbZhPkLxqTmP_Er5lz3CdVI9SOfNP9IcWFUmnzzRlr6IhtK3N5gCQ/QH6MxqDcpDXKsGjrv2P-tNYj4Ltw87bIo2I7pPqczdA)",,checked,,,"1lb packages available
upon request
",8/5/2024 1:59pm,,,"""Wardynski & Sons, Inc.""",Self distribute,,,,,
"Hotdog, beef with jalapeno and cheese, 7:1, fully cooked",Protein,Meat,2.3 oz.,30lbs./cs (6/5#),Wardynski & Sons Inc.,30624,"Wardynski & Sons Inc.,Renzi Foodservice,Latina Boulevard",,Yes,NY Grown & Certified ,,"Botaniline PPT.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wG_QZPs-khzTuqmGeIDtJA/BD8yYxvfikCoqB3WsWbBp_6J6OuXRsxW94bt-MPnTfaGVEjA61F8kneamCe1eGNEENNbkziw88HkDb9FuR_N5haLhYSqEMRTX6Z5Dc7F3KL_E7WQQgsOgfl1toulAQgrimpx8PCz1ivYq5-J5q4j4Q/NJAzAe_SxC8Ifa6JFyygwHC2ckgMOG0e4df8w5tKZO8),51- Jalapeno & Cheese Hot dog.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/WK-B6GIiiXq9_Gd8j_vn3A/6DDb9b_4ppdwZ2wwl57m5Tg8wM1sRqwW2Aw6m86WFnJ5_P0MZJDAzs1dKM83otT4rOSWSksAxGU9t4xVRIlIr4r77TdhXa6dTYNFyGOcpdxLZx94QKGdOvBbeGe9GrCWYvpbq3c6zNeF_SAcDs0iqMUqHSBTPgzIaZ6Udh2-x7s/700vVz4T0WpdCCpmDU4AFxlQkhxOW6blr8ogzGpcFlI)",,checked,,,"1lb packages available
upon request
",8/5/2024 1:59pm,,,,,,,,,
"Bologna, all beef",Protein,Meat,2.3 oz.,"5 pc per case, catch weight ",Wardynski & Sons Inc.,30617,"Wardynski & Sons Inc.,Renzi Foodservice,Latina Boulevard",,Yes,NY Grown & Certified ,,"Botaniline PPT.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wG_QZPs-khzTuqmGeIDtJA/BD8yYxvfikCoqB3WsWbBp_6J6OuXRsxW94bt-MPnTfaGVEjA61F8kneamCe1eGNEENNbkziw88HkDb9FuR_N5haLhYSqEMRTX6Z5Dc7F3KL_E7WQQgsOgfl1toulAQgrimpx8PCz1ivYq5-J5q4j4Q/NJAzAe_SxC8Ifa6JFyygwHC2ckgMOG0e4df8w5tKZO8),51- beef bolo updated.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/zPt20z0Kn_y62q7WoCVx_Q/e8kWn-H3aiL0n2msiOtlhb4DE8yBgLc43KHVEZlWGHP6g1A2JJAtqCFJkRAsYGMPpTa6gbrij1XATIH86yMWSSPF4wkEDJQ_4q3Tud7LORLIzVTngQ2nI2MUsUwGBvBqarfO01UO6X1HpkP4J-PMkWVzAz4AWCjk0IUXcI4YpsI/ljmLjeHdkVMr9tOu29uOfXBpFiuOSkvlKxs_m0S8XWw)",,checked,,,"2lb packages available
upon request
",8/5/2024 1:59pm,,,,,,,,,
"Knockwurst, beef, 7:1",Protein,Meat,65 g.,30lbs./cs (6/5#),Wardynski & Sons Inc.,30021,"Wardynski & Sons Inc.,Renzi Foodservice,Latina Boulevard",,Yes,NY Grown & Certified ,,"Botaniline PPT.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wG_QZPs-khzTuqmGeIDtJA/BD8yYxvfikCoqB3WsWbBp_6J6OuXRsxW94bt-MPnTfaGVEjA61F8kneamCe1eGNEENNbkziw88HkDb9FuR_N5haLhYSqEMRTX6Z5Dc7F3KL_E7WQQgsOgfl1toulAQgrimpx8PCz1ivYq5-J5q4j4Q/NJAzAe_SxC8Ifa6JFyygwHC2ckgMOG0e4df8w5tKZO8),51- Beef Knockwurst.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/2kTBWA2mPHyLcwvgcnZmyA/tAhqDdco2x20jKtsQ3qkzTEb_tPkFPY1dH2GAEyeB122NogJn5qT0293nOblfnpN86ChoNxnKmBzZVZYT-a00uyDt0sYFAK5aqXThVpofu34HMfXHMp3cCNkgIlsMLaexSVVZ9tF0YfhjR4bBm4L7kqc2P9diasdrUQvx92jzxo/nGtbTuqX_2gIg5Yn4QVM74th4RPsTZtBK59NQ78_iec)",,checked,,,"1lb packages available
upon request
",8/5/2024 1:59pm,,,,,,,,,
"Bratwurst, beef, 7:1",Protein,Meat,65 g.,30lbs./cs (6/5#),Wardynski & Sons Inc.,33018,"Wardynski & Sons Inc.,Renzi Foodservice,Latina Boulevard",,Yes,NY Grown & Certified ,,"Botaniline PPT.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wG_QZPs-khzTuqmGeIDtJA/BD8yYxvfikCoqB3WsWbBp_6J6OuXRsxW94bt-MPnTfaGVEjA61F8kneamCe1eGNEENNbkziw88HkDb9FuR_N5haLhYSqEMRTX6Z5Dc7F3KL_E7WQQgsOgfl1toulAQgrimpx8PCz1ivYq5-J5q4j4Q/NJAzAe_SxC8Ifa6JFyygwHC2ckgMOG0e4df8w5tKZO8),51- Beef Brats.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/ZNKW3czJyr51g_sfB0ZY2w/kkhwE0-Rz4UkGjsXSRWSh4LMiyBQmNFOnxC8FzFFrEHP-STR5ic-qZfyVTNPXrIbkJ8tySgo2fghOCPFl09JuwFAv5HL3exTalKdOzMiZ1cBBKgJ4WMDv-BzcR_mNdRillAFOG9-KU9taiOlx3n-Sg/OmWw6r_zxNjLi0B078LLZwpdIIeL2hkhwdwjfN4iqJ4)",,checked,,,"1lb packages available
upon request
",8/5/2024 1:59pm,,,,,,,,,
"Polish sausage links, beef",Protein,Meat,65 g.,30lbs./cs (6/5#),Wardynski & Sons Inc.,33030,"Wardynski & Sons Inc.,Renzi Foodservice,Latina Boulevard",,Yes,NY Grown & Certified ,,"Botaniline PPT.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wG_QZPs-khzTuqmGeIDtJA/BD8yYxvfikCoqB3WsWbBp_6J6OuXRsxW94bt-MPnTfaGVEjA61F8kneamCe1eGNEENNbkziw88HkDb9FuR_N5haLhYSqEMRTX6Z5Dc7F3KL_E7WQQgsOgfl1toulAQgrimpx8PCz1ivYq5-J5q4j4Q/NJAzAe_SxC8Ifa6JFyygwHC2ckgMOG0e4df8w5tKZO8),51- beef Polish Sausage.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wfffntN7sjg8UplzvjHXSw/GJph1N3pGBsl5XlRAqsuhRB_yyVipHDdHmCnDXlY-3eUA4G7vEF_ZcdPxsM6WfLSHtCtxptJtojH9OrL619AvYUDNLV68q2IODq8pc1gIXTw261uN0fHXlhwhRmUUcfm3UIT5022C1mkWGoYoCiVCdLQ7m28-8egtc06R_EZwMg/jhvxAFOaayizidhYOTFJ8bdauix-dD9d06_ahx5oFkc)",,checked,,,"1lb packages available
upon request
",8/5/2024 1:59pm,,,,,,,,,
"Italian beef sausage, 7:1, fully cooked",Protein,Meat,2.3 oz.,30lbs./cs (6/5#),Wardynski & Sons Inc.,30620,"Wardynski & Sons Inc.,Renzi Foodservice,Latina Boulevard",,Yes,NY Grown & Certified ,,"Botaniline PPT.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wG_QZPs-khzTuqmGeIDtJA/BD8yYxvfikCoqB3WsWbBp_6J6OuXRsxW94bt-MPnTfaGVEjA61F8kneamCe1eGNEENNbkziw88HkDb9FuR_N5haLhYSqEMRTX6Z5Dc7F3KL_E7WQQgsOgfl1toulAQgrimpx8PCz1ivYq5-J5q4j4Q/NJAzAe_SxC8Ifa6JFyygwHC2ckgMOG0e4df8w5tKZO8),51- Beef Italian Style Sausage.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/ymxTfbMGa_-znk2w3jYe-w/Szfa5gfZXQorxh9Jggc5Z_D6IRv7ImMil3bIv2DLxyWMyOibCOcmBcMLx3igOPHGQHpW27Wf1wTiBvQriOz6_HY-I_VrB-tNcLygMZCUUvP90j-KsfAtkM4j2uCD1TpCzYQcS6YcOiQ5LdfWdCe5BpexTBGJ0pTKeZB6n38Bu3s/zDP13C6ht8g5Je2oZOHjyUleYJhxl0mbdOzOS1t0p7o)",,checked,,,"1lb packages available
upon request
",8/5/2024 1:59pm,,,"""Wardynski & Sons, Inc.""",Self distribute,,,,,
"Hotdog, beef, all natural, 7:1, fully cooked",Protein,Meat,2.3 oz.,30lbs./cs (6/5#),Wardynski & Sons Inc.,30630,"Wardynski & Sons Inc.,Renzi Foodservice,Latina Boulevard",,Yes,NY Grown & Certified ,,ALL NATURAL 51% NY Beef Dog 7-1 SPEC SHEET.docx (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/XC4lKKHTRjunMLO47MgaJw/ASSKflJJrK9LX9G7Mr8npxKQQ5rlaD0KJB3u-NTBetgCXIhn_z-m8acqF-Ag2m-2BBK3_MCnEUNfhSpybcDYe_D9zKh-c70e7UQvNAsOWBy_v2Eo6OJLQEGbP3vzUgNOSoV3YXK9DzhBQ4_S-NTwUDzPfMrn7nHDhs_XT5hBeGxqFgGy2JydYbJAgX_teMFN/At1JrVPqmb-MJ_7mrvfCkGNdr92nw5HoYtCeWCpjjws),,checked,,,"1lb packages available
upon request
",8/5/2024 1:59pm,,,,,,,,,
Swedish Meatballs,Protein,Meat,40 lbs.,40 lbs.,WildKale,17 K Y D 62,"WildKale,Headwater Food Hub",,Yes,,,,"Dagele Farms Source Letter.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/_pM0i6WPl7Yg0rIK05V52g/qVtHIs-fbcZTwppKyOSGmsC3zsMgOeJ7erBey6xwBSFOIGpwHnrEUK3DPpT2aAYt07WN1OyUBCgKxzDhIklCrhO4qGXxXHzs1ZSX6tZH-mv1jljjjnOFY1r8gDxh66mjejKZzX1hrEUU7mwnzBrtkehUMbc6I9Q1RXLRJFiV2bKEp3K71DZcVP5LI9IQkiyc/Q7qfFfIh1vZbfzCLU44iWP3Fo3S8O5f9ajpshRixTSw),Swedish Meatball PFS.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/RjJ1-fLvdthL837XHkAfNw/qyLRm6CYP-aUoNBUKmoK3TAAeNEuxw-cZAI5AWlhHcPLcEIQ7xAXq9naF7ygtIPNDp9J-qFnovjsR7630lDbt7woqQIsDfWWKK8nfmdJhUP5OM5PUcDz6Fey6RnpTbmqE5EOxnFSY3RYo-dIcSBUW2coA_vOFGDAkQiBTgat1V0/d4HiVIgsDuNgscPmOUirZ_yzCB7NsnuBoH10mmYPlss)",checked,,,,6/4/2024 2:59pm,,,,,,,,,
Beef Ravioli,Protein,"Meat,Pasta",40 lbs.,40 lbs.,WildKale,17 F Y D 99,"WildKale,Headwater Food Hub",,Yes,,,,"Beef Ravioli PFS.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/FYYcEurw-ciyFMOsl7xw6g/F2HLZ167-RkGMEfOzGmkx01ZaP4HH2r-HcPPMmraTm_e1Zb0iIFjXSDhx99dZpDoojZPB4txvwmsYtTAsL8JynG49hWiPYztyVe20d8E-ZZXLqYx6ITroB4N-qQ4axGey0tyZQ4vPFQpMNJhfp1zBgvgoSbUuoc-SQzzlSLerxk/95jJotSO0sj0_tpc84SOG_JlZxwWysyYUgEnlijDn0c),Dagele Farms Source Letter.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/TxsyrC3cafgOj5VOYvcBoQ/U4OBEzoK6r6Fyt33j_Ip6VtuuAEigCxIui4RiUz0GgK35bxm0qUPo5GGI_tf8j36zEUmh4R1xs94io8J0Riydvup4hF_e5sjNz9FA8kYCNWbQAcZCm1DN1B61X59J0ymNKN6g9Relfc7EBDBBEt5oufx4Kt_ao-rmtl1m-yVAgsuyFFzcVKpZnfHUoU1GWMs/tXqaOV_s_NXkmEaPnVYbakjlpfUz2LVWw5y5pLFqgMM)",checked,,,,6/4/2024 2:59pm,,,,,,,,,
